formatted_date,high,low,open,close,volume,adjclose
2022-01-01,47827.3125,46288.484375,46311.74609375,47686.8125,24582667004,47686.8125
2022-01-02,47881.40625,46856.9375,47680.92578125,47345.21875,27951569547,47345.21875
2022-01-03,47510.7265625,45835.96484375,47343.54296875,46458.1171875,33071628362,46458.1171875
2022-01-04,47406.546875,45752.46484375,46458.8515625,45897.57421875,42494677905,45897.57421875
2022-01-05,46929.046875,42798.22265625,45899.359375,43569.00390625,36851084859,43569.00390625
2022-01-06,43748.71875,42645.5390625,43565.51171875,43160.9296875,30208048289,43160.9296875
2022-01-07,43153.5703125,41077.4453125,43153.5703125,41557.90234375,84196607520,41557.90234375
2022-01-08,42228.94140625,40672.27734375,41561.46484375,41733.94140625,28066355845,41733.94140625
2022-01-09,42663.94921875,41338.16015625,41734.7265625,41911.6015625,21294384372,41911.6015625
2022-01-10,42199.484375,39796.5703125,41910.23046875,41821.26171875,32104232331,41821.26171875
2022-01-11,43001.15625,41407.75390625,41819.5078125,42735.85546875,26327648900,42735.85546875
2022-01-12,44135.3671875,42528.98828125,42742.1796875,43949.1015625,33499938689,43949.1015625
2022-01-13,44278.421875,42447.04296875,43946.7421875,42591.5703125,47691135082,42591.5703125
2022-01-14,43346.6875,41982.6171875,42598.87109375,43099.69921875,23577403399,43099.69921875
2022-01-15,43724.671875,42669.03515625,43101.8984375,43177.3984375,18371348298,43177.3984375
2022-01-16,43436.80859375,42691.0234375,43172.0390625,43113.87890625,17902097845,43113.87890625
2022-01-17,43179.390625,41680.3203125,43118.12109375,42250.55078125,21690904261,42250.55078125
2022-01-18,42534.40234375,41392.21484375,42250.07421875,42375.6328125,22417209227,42375.6328125
2022-01-19,42478.3046875,41242.9140625,42374.0390625,41744.328125,23091543258,41744.328125
2022-01-20,43413.0234375,40672.82421875,41744.02734375,40680.41796875,20382033940,40680.41796875
2022-01-21,41060.52734375,35791.42578125,40699.60546875,36457.31640625,43011992031,36457.31640625
2022-01-22,36688.8125,34349.25,36471.58984375,35030.25,39714385405,35030.25
2022-01-23,36433.3125,34784.96875,35047.359375,36276.8046875,26017975951,36276.8046875
2022-01-24,37247.51953125,33184.05859375,36275.734375,36654.328125,41856658597,36654.328125
2022-01-25,37444.5703125,35779.4296875,36654.8046875,36954.00390625,26428189594,36954.00390625
2022-01-26,38825.41015625,36374.90625,36950.515625,36852.12109375,31324598034,36852.12109375
2022-01-27,37148.32421875,35629.28125,36841.87890625,37138.234375,25041426629,37138.234375
2022-01-28,37952.87890625,36211.109375,37128.4453125,37784.33203125,22238830523,37784.33203125
2022-01-29,38576.26171875,37406.47265625,37780.71484375,38138.1796875,17194183075,38138.1796875
2022-01-30,38266.33984375,37437.7109375,38151.91796875,37917.6015625,14643548444,37917.6015625
2022-01-31,38647.26171875,36733.57421875,37920.28125,38483.125,20734730465,38483.125
2022-02-01,39115.1328125,38113.6640625,38481.765625,38743.2734375,20288500328,38743.2734375
2022-02-02,38834.6171875,36832.73046875,38743.71484375,36952.984375,19155189416,36952.984375
2022-02-03,37154.6015625,36375.5390625,36944.8046875,37154.6015625,18591534769,37154.6015625
