,formatted_date,high,low,open,close,volume,adjclose,H-L,O-C,SMA_7,SMA_14,SMA_21,SD_7,SD_21
20,2014-10-07,339.2470092773437,320.48199462890625,330.5840148925781,336.18701171875,49199900,336.18701171875,10.102020263671875,3.059997558593693,355.19671630859375,379.4825744628906,393.50157383510043,28.275977607331757,38.2587882205874
21,2014-10-08,354.364013671875,327.18798828125,336.1159973144531,352.94000244140625,54736300,352.94000244140625,8.928009033203125,1.42401123046875,347.86657278878346,372.3657880510603,387.3230968656994,24.987833554085597,36.421033816149155
22,2014-10-09,382.72601318359375,347.68701171875,352.7479858398437,365.0260009765625,83641104,365.0260009765625,5.060974121093693,17.70001220703125,343.4037126813616,367.3366437639509,382.3653826032366,19.689258177073636,33.44677561591231
23,2014-10-10,375.0669860839844,352.9630126953125,364.68701171875,361.56201171875,43665700,361.56201171875,11.7239990234375,13.504974365234375,341.9045715332031,363.99793134416853,379.53604997907365,17.095087989467924,32.230517179429036
24,2014-10-11,367.1910095214844,355.95098876953125,361.3619995117188,362.2990112304688,13345200,362.2990112304688,5.411010742187557,4.891998291015568,342.1145717075893,360.9840741838728,377.94981166294644,17.35985542309547,32.26798280801595
25,2014-10-12,379.4330139160156,356.1440124511719,362.6059875488281,378.5490112304688,17552800,378.5490112304688,6.46197509765625,0.8840026855468182,346.92742919921875,358.35085841587613,375.78414481026783,17.756396669735636,31.664858910199296
26,2014-10-13,397.22601318359375,368.8970031738281,377.9209899902344,390.41400146484375,35221400,390.41400146484375,9.02398681640625,6.81201171875,355.1462838309152,358.4217856270926,374.77562023344495,16.70929743091364,31.219259245913058
27,2014-10-14,411.697998046875,391.3240051269531,391.6919860839844,400.8699951171875,38491500,400.8699951171875,0.36798095703125,10.8280029296875,363.87599400111606,359.5363551548549,374.28038097563245,17.673106423741086,30.84450576148025
28,2014-10-15,402.22698974609375,388.7659912109375,400.9549865722656,394.7730102539063,25267100,394.7730102539063,12.188995361328125,7.453979492187443,373.13870675223217,360.5026397705078,372.62342761811755,17.690305657192116,28.198326227326476
29,2014-10-16,398.8070068359375,373.0700073242188,394.51800537109375,382.5559997558594,26990000,382.5559997558594,21.447998046874943,16.251007080078125,379.10585239955356,361.2547825404576,371.2597133091518,16.681959344066005,26.258035970613687
30,2014-10-17,385.4779968261719,375.3890075683594,382.7560119628906,383.7579956054688,13600700,383.7579956054688,7.36700439453125,1.7200012207030682,381.68713814871654,361.7958548409598,369.8943336123512,15.42998191168758,24.768058070164244
31,2014-10-18,395.1579895019531,378.9710083007813,383.97601318359375,391.4419860839844,11416800,391.4419860839844,5.005004882812443,3.71600341796875,384.91771153041293,363.51614161900113,368.96195329938615,12.567003809317951,23.78661803338445
